ID,Año del hecho,Sexo de la victima,Grupo de edad de la victima,Mes del hecho,Dia del hecho,Departamento del hecho DANE,Municipio del hecho DANE,Lesion fatal de causa externa,Estado
19033,2018,Hombre,(35 a 39),Abril,Domingo,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19034,2018,Hombre,(25 a 29),Abril,Lunes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19035,2018,Mujer,(20 a 24),Abril,Lunes,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19036,2018,Hombre,(30 a 34),Abril,Domingo,Huila,Pitalito,Violenta - Muertes en accidentes de transporte,Datos definitivos
19037,2018,Hombre,(20 a 24),Abril,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19038,2018,Hombre,(55 a 59),Abril,Lunes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19039,2018,Hombre,(20 a 24),Mayo,Domingo,Huila,Hobo,Violenta - Muertes en accidentes de transporte,Datos definitivos
19040,2018,Hombre,(20 a 24),Mayo,Miércoles,Huila,Gigante,Violenta - Muertes en accidentes de transporte,Datos definitivos
19041,2018,Mujer,(70 a 74),Mayo,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19042,2018,Mujer,(50 a 54),Mayo,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19043,2018,Hombre,(75 a 79),Mayo,Jueves,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19044,2018,Hombre,(60 a 64),Mayo,Domingo,Huila,Teruel,Violenta - Muertes en accidentes de transporte,Datos definitivos
19045,2018,Mujer,(80 y más),Abril,Jueves,Cundinamarca,Girardot,Violenta - Muertes en accidentes de transporte,Datos definitivos
19046,2018,Hombre,(35 a 39),Mayo,Lunes,Huila,Campoalegre,Violenta - Muertes en accidentes de transporte,Datos definitivos
19047,2018,Hombre,(35 a 39),Abril,Jueves,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19048,2018,Hombre,(00 a 04),Mayo,Miércoles,Huila,Rivera,Violenta - Muertes en accidentes de transporte,Datos definitivos
19049,2018,Hombre,(30 a 34),Mayo,Jueves,Huila,Aipe,Violenta - Muertes en accidentes de transporte,Datos definitivos
19050,2018,Hombre,(20 a 24),Junio,Viernes,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
19051,2018,Hombre,(65 a 69),Junio,Sábado,Huila,Neiva,Violenta - Muertes en accidentes de transporte,Datos definitivos
